Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Turkmenistan,TKM,..,2691409675.62753,20701691316.5986,24454791710.4832,29302609104.0159,34929613725.7925,39382084894.4375,39142691112.8301,38640020035.4504,36751411026.7475,39438266890.2865,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Turks and Caicos Islands,TCA,..,..,..,..,..,..,799245939.662651,856449473.691883,915332100.163811,943260017.380721,1007020879.68285,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Tuvalu,TUV,..,..,46340824.5002205,50230398.9041165,47587348.7515271,60318569.4331323,51279553.5680271,60397573.0680913,56863669.9255338,54688685.8562242,62533479.7476475,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Uganda,UGA,5638077182.52581,6398433460.20211,18240054109.3878,20993874686.25,22127146297.8014,23107260795.7068,25565927571.769,26768593936.7816,26233969476.108,25585941409.1057,26688331084.7713,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Ukraine,UKR,83317726457.662,34350242163.0229,136703212313.304,142158553941.461,159419829128.435,172731573141.583,153080488776.808,113648088630.171,98744518111.7296,96211132019.5393,112497730744.996,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,United Arab Emirates,ARE,..,98424973047.7352,285540812243.736,313384146047.084,358578323264.81,394073667471.698,408498689476.707,397053277791.69,379778722976.248,365697740948.039,393687216384.538,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,United Kingdom,GBR,1060997670770.03,1720794087289.22,2614105351034.05,2598059425787.26,2656611912865.49,2740574455682.26,2863865950875.67,2884113181490.89,2819942699210.99,2732709394411.55,2777405852071.53,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,United States,USA,6006223905795.03,10147603801972.1,15154198695429.4,15756881924473.8,16560497008306.3,17048936792647,17776476297335.5,18191395170921,18467339419486.5,19194752830167.1,20636317813893.1,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Uruguay,URY,8841423393.8214,23424281256.1932,35059817776.507,40636375991.3116,45188385950.2946,51936564372.6859,53821654218.982,53375202629.135,51290316048.8583,51222993449.8056,53972904752.5031,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Uzbekistan,UZB,..,15434001190.1009,39017291533.7607,48326503046.8532,60194560007.1912,68584510856.4978,77691897414.1846,81474604652.6565,84575814234.0823,76193224669.169,66508646229.7207,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Vanuatu,VUT,176015598.342399,263961004.512903,635740824.79366,691967097.969019,731034629.299891,810341831.077622,824128892.658437,789758764.921313,793139720.816353,822303646.124528,915473084.407257,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,"Venezuela, RB",VEN,52428280756.239,99730376066.4109,335817312573.057,346032458370.601,373060695993.062,356606570436.888,392924529821.88,..,..,..,..,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Vietnam,VNM,8528434370.60869,32629185569.8126,110302119498.742,122032835939.376,138086725063.56,156269151045.461,172358561266.92,182493096778.63,194603038069.985,200807663941.291,225881796340.297,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,West Bank and Gaza,PSE,..,4537628351.06095,8832760032.62125,10559120836.262,12004477813.3161,13006929306.3452,13665130146.6245,14435401251.9176,15090572209.4675,15665562699.5356,16971424264.6216,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,"Yemen, Rep.",YEM,..,7422714434.80455,27870257610.2975,25694360523.4574,30836222264.7238,36138866394.8826,37723823688.6295,..,..,..,..,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Zambia,ZMB,3486262123.82251,3487051507.88555,18277659839.8764,19889873112.3606,24541166714.044,26269264438.1313,27697519454.7788,25126634952.4691,22594927300.531,21909084368.0164,24769379600.8785,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Zimbabwe,ZWE,9013976240.92492,6116821380.9319,7943364237.14547,11891878067.9707,14578185559.2315,16156296121.4883,17187131810.9469,17668504936.5748,18102732501.1269,19572396516.2986,25806087217.628,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Arab World,ARB,..,679909188701.109,2051608151169.22,2198361236344.16,2600129197780.97,2828146214836.38,2926554604332.47,2805819807760.53,2688708872514.51,2549703803370.16,2672906114477.03,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Caribbean small states,CSS,16713914842.2939,31559187603.1953,61126997271.7838,60497452262.0773,65884184881.1594,69206706261.784,69216445483.3303,69885170717.5262,66053685374.5433,65896335953.3868,67997467061.951,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Central Europe and the Baltics,CEB,..,442619768037.444,1332452372664.85,1344707877799.18,1357747246599.18,1391480243407.64,1403155697884.52,1364652290666.31,1322200752009.51,1338083868652.09,1492970928838.34,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Early-demographic dividend,EAR,1713257750428.19,3087283375175.83,7930388830555.77,8769003670337,9818570777994.21,10377969483916.5,10639723760786.6,10535673987391.5,10561641836943.6,10839706066519,11592393543220.4,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,East Asia & Pacific,EAS,5018393211839.79,7847146248602.43,16153901999246.2,18038762008067.1,20326583670876.5,21818793336746.9,22467376577673.3,22334616150211.3,22612580170179.4,23492706498513.5,25569249201227.4,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,East Asia & Pacific (excluding high income),EAP,672248447430.881,1660240906856.4,7398376477620.07,8604133509724.97,10130455433486.6,11479618666245.4,12560669253540.7,13160326019605.4,13650452484803.6,14396078864855.2,15821695653484,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,East Asia & Pacific (IDA & IBRD countries),TEA,671020322452.331,1657207826845.7,7384389580408.45,8587843801293.53,10111244652411.4,11457823484807,12536821580064.3,13135366871977.9,13624566221024.8,14368755424760.9,15791654759858.8,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Euro area,EMU,5485240327612.58,7104235345309.7,13368178587070.2,13519352053967.7,13202031347670.7,13313326584839.9,13320942484728.3,12810884829784.7,12379708613499.2,12226799338355,13252466851547.4,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Europe & Central Asia,ECS,8308137722502.3,10792010255990.8,21759117737164.8,22239944843531.2,22606820090669.1,23342618476892.4,23479241567898.3,22347641728438.4,21265456191003.7,20879649382542.2,22353009735552.4,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Europe & Central Asia (excluding high income),ECA,..,700244785378.083,2967535101887.59,3237543523612.21,3730680854710.84,4142889620738.52,4139201339724.59,3616668947946.29,3186257272049.51,3076749036347.47,3260571222297.04,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Europe & Central Asia (IDA & IBRD countries),TEC,..,902025538858.177,3512268101375.45,3788550736464.4,4290954779340.28,4713136371698.76,4713934658147.01,4177145290784.13,3720477535724.93,3612266693992.54,3853341976108.73,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,European Union,EUU,7149630695925.52,9643534044329.4,17938270626389.4,18110197178522.9,17887067581917.5,18146169511216.1,18295525356593.4,17735607382302,17161280551004.5,16921408928401.5,18177922747803.5,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Fragile and conflict affected situations,FCS,..,..,609417480662.229,602245603408.254,751328584333.861,802914579617.062,834796333637.046,803054262134.836,793083525072.285,789901198929.211,812074140056.015,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Heavily indebted poor countries (HIPC),HPC,133716755495.65,150927053149.915,456854318886.799,491659726861.537,539484824382.431,572450760724.162,638603976806.182,658006550422.499,667065652993.602,696397133029.319,722376365292.221,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,High income,HIC,18781518678362.6,27776580565314.2,45941606227271.4,47735656553009.4,49617577797030.8,50859393661919.6,51368717797939.1,50206086754032.8,49395039994023.4,49903378495937.9,53586842220134.8,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,IBRD only,IBD,3231562519634.43,5629699411197.34,18536403238355.2,20851690795590.5,23879286716321.9,26092335237484.2,27195480955252.2,26734194170082.3,26488133192225.6,27243435012169.9,29551640618099.5,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,IDA & IBRD total,IBT,3577826139616.7,6052846108580.51,19938209151515.7,22371725569654.6,25595093455225.2,27977094606832,29261621134019.1,28849747284254.6,28598776741820.5,29377713210201.1,31795288366218.2,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,IDA blend,IDB,153857813825.67,182241025286.304,682664243453.762,737612468395.122,846413942777.13,948427217804.647,1045057802007.56,1058100809196.93,1015900272304.9,973931059776.752,999947297339.824,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,IDA only,IDX,191284501531.942,241605765366.158,719410527640.096,780464179501.533,864737564656.552,929934099029.788,1018305115906.71,1060521559350.57,1104622292921.15,1176494000505.96,1262126418255.56,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,IDA total,IDA,346754438095.537,424748399082.852,1408516469256.95,1523797309459.13,1718948666189.48,1888657601786.78,2074962990764.93,2128569317482.26,2124358230357.91,2146330110242.7,2254284112139.49,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Late-demographic dividend,LTE,1907555585718.9,3341228286270.91,12585001497623.3,14260657754770.9,16497089301961,18375451811233.8,19372594214844.3,19084381906650.9,18836647241593.5,19346684823753.8,21190970097122.2,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Latin America & Caribbean,LCN,1034764949661.57,2162507614616.92,4747199037983.42,5290627738290.34,5910961158086.36,6218248134103.33,6209839722977.37,5762971597529.89,5370351032899.46,5332865760408.46,5591717050885.83,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Latin America & Caribbean (excluding high income),LAC,953268055372.158,1982241060681.13,4384837638064.75,4886536804939.02,5454097600391.38,5727739961298.21,5717650081927.89,5278001063100.25,4896023417923,4852359146095.5,5069986388692.39,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,976798906020.287,2074057342894.49,4589991281581.9,5126566952941.66,5738905885771.45,6040744394549.64,6030792925827.53,5579184342507.07,5183295832904.63,5145633100172.63,5398912673886.51,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Least developed countries: UN classification,LDC,160665374287.535,194388077394.766,639329585034.267,694820294767.323,781800529346.645,844575160117.113,927233674583.561,952082873710.861,974327736577.941,1031024100535.23,1090100004289.95,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Low & middle income,LMY,3448194982081.36,5766924909294.48,19210269081088.9,21606229401781.9,24779504437299,27126119043945.9,28407670721529.1,28023431252806.9,27814209242391.7,28591025713507.7,30922777035445,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Low income,LIC,99575093920.0706,118043617886.997,361300378591.296,381139269449.552,422880898646.03,470403971504.635,509102603406.3,517756740983.88,524948704808.218,543823276209.887,592948045421.629,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Lower middle income,LMC,923041110648.505,1246010039817.1,4096697522230.41,4585088922505.05,5186552831053.38,5553661335277.57,5820711561084.89,5895610110268.82,6041501857256.74,6272992808712.88,6777452271172.23,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Middle East & North Africa,MEA,..,907695635516.188,2682588369355.36,2898916673185.98,3332796336459.09,3597823622217.57,3659232309393.12,3453190919196.43,3353823192495.95,3221481261689.69,3453577183600.02,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Middle East & North Africa (excluding high income),MNA,..,440189070863.274,1325460900636.6,1386418480800.16,1580746356043.5,1669671997098.39,1655115030340.43,1525636095511.5,1527283901170.13,1463554438468.52,..,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Middle East & North Africa (IDA & IBRD countries),TMN,..,435447871556.132,1316630829933.05,1375800734621.79,1568676648979.73,1656580944520.86,1641330600715.44,1510957687639.19,1511905012312.99,1447527740506.59,..,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Middle income,MIC,3355171912073.22,5650529840493.74,18851986143686.2,21222815814733.5,24350977655159.9,26651129781384.6,27897281492940.9,27508714561672.4,27295608173583,28054987031385.6,30339600597815.4,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,North America,NAC,6580802354914.71,10846934218644.4,16673951958116.7,17384152773969.5,18340667661486.3,18908487950352.6,19633264918243.6,19897794061598.2,20059233421328.7,20771967251335.2,22310023588178.5,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,OECD members,OED,18515204354992.2,27524629553787.5,45302686335954.8,46997223354677.2,48735325283661.4,49850201066637.3,50314420788866.9,49196180436873.3,48354367887218.1,48819250001791,52265218052904.9,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Other small states,OSS,..,..,299739530943.418,332300856332.143,376497493432.381,413721258837.427,427388390948.14,408162963316.57,383727220433.048,375858837285.313,409804532286.448,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Pacific island small states,PSS,2537532000.81034,3710833859.80877,6245828995.97909,6664193546.67734,7446588325.4336,8397347581.57256,8849009063.82336,9163322862.892,9309024781.40982,9525977164.63357,10199769237.5307,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Post-demographic dividend,PST,18159342547357.2,26527320547337.8,43160356094486.6,44749117963748.6,46324696860171.6,47326269280973.7,47704927480193.7,46588695555310.3,45875887477195.2,46413852520509.2,49764804327001.9,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Pre-demographic dividend,PRE,193410412677.03,210172816448,953794338165.71,1016983988027.85,1184452480933.3,1311466767849.54,1441697774106.78,1410370710484.32,1325836108603.33,1256055251089.88,1262546911622.74,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Small states,SST,..,..,367124616789.154,399420728618.791,449760618420.998,491229088923.816,505338986346.017,487134811974.524,459020147197.695,451216283269.947,487922276362.898,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,South Asia,SAS,428514248622.56,617861095929.89,1889948293585.42,2132698229198.4,2353203938232.47,2464546836010.13,2573117717541.21,2686287039368.17,2877062218935.72,3130607350416.65,3489430207346.94,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,South Asia (IDA & IBRD),TSA,428514248622.56,617861095929.89,1889948293585.42,2132698229198.4,2353203938232.47,2464546836010.13,2573117717541.21,2686287039368.17,2877062218935.72,3130607350416.66,3489430207346.94,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Sub-Saharan Africa,SSF,318393207754.856,367838227390.103,1246507860866.34,1356146519769.61,1527093544051.56,1636112359543.76,1753148399443.72,1717348527993.04,1615847272506.33,1586201451666.14,1635848880580.35,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Sub-Saharan Africa (excluding high income),SSA,318047129983.396,367243786492.705,1245593939715.44,1355179924968.93,1526074779962.93,1634974618851.82,1751934535749.51,1716038750431.26,1614536653960,1584836531157.02,1634337076651.02,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Sub-Saharan Africa (IDA & IBRD countries),TSS,318393207754.856,367838227390.103,1246507860866.35,1356146519769.61,1527093544051.56,1636112359543.76,1753148399443.72,1717348527993.04,1615847272506.33,1586201451666.14,1635848880580.35,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Upper middle income,UMC,2402353333340.89,4404800181260.24,14755291946711.7,16637724004807.6,19164403119711.3,21097414318713.1,22076515096995.4,21610263274933.8,21247781339787.3,21774069268891.2,23553911043994.4,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,World,WLD,22257676569962.3,33561403509943.3,65151945029393.6,69339053750056.1,74389888388433.2,77974978176565.8,79763949297916.5,78214349917656,77191438437312.2,78469619973434.7,84476939095568,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Afghanistan,AFG,..,..,510,530,630,660,630,600,570,550,550,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Albania,ALB,650,1100,4360,4410,4360,4540,4540,4390,4320,4290,4860,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Algeria,DZA,2370,1590,4480,4600,5170,5510,5490,4850,4370,3920,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Angola,AGO,780,360,3240,3420,4170,4780,5010,4520,3770,3560,3370,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Antigua and Barbuda,ATG,6820,10140,12690,12370,12780,12610,12730,12970,13460,14440,15890,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Argentina,ARG,3190,7470,9270,10710,11890,12870,12350,12600,12220,13120,12390,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Armenia,ARM,..,660,3470,3530,3880,4110,4140,4010,3760,3950,4230,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Aruba,ABW,12230,20000,22370,22450,23520,23970,24500,23780,23550,23630,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Australia,AUS,17300,21120,46630,50320,60210,66020,65150,60500,54140,51600,53230,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Austria,AUT,20630,26790,49610,50590,50060,50700,50370,47450,46220,45120,49310,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Azerbaijan,AZE,..,610,5370,5460,6410,7410,7690,6570,4760,4070,4050,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Bahamas, The",BHS,11870,25940,28370,28030,29020,28380,27720,28300,28910,29930,30520,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bahrain,BHR,9070,10940,18970,18160,22010,23790,24070,22660,21610,21180,21890,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bangladesh,BGD,320,440,800,890,970,1040,1110,1220,1370,1520,1750,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Barbados,BRB,6810,11000,15570,15060,15920,15460,15320,15270,14880,15000,15410,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Belarus,BLR,..,1380,6210,6330,6670,7010,7600,6720,5620,5300,5670,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Belgium,BEL,19310,25860,46950,46400,47100,47880,47800,45540,43440,42720,45910,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Belize,BLZ,2260,3150,3930,4080,4120,4170,4230,4420,4330,4290,4470,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Benin,BEN,370,390,790,800,820,890,930,860,820,800,870,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bermuda,BMU,27060,..,110440,107530,106080,106140,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bhutan,BTN,580,730,2040,2240,2390,2410,2460,2520,2650,2800,2970,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bolivia,BOL,720,980,1780,1990,2250,2590,2830,2960,3040,3090,3370,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bosnia and Herzegovina,BIH,..,1490,4950,5010,4990,5270,5300,5210,5130,5110,5740,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Botswana,BWA,2720,3170,5650,6850,7800,8000,7840,6960,6880,7020,7750,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brazil,BRA,2730,3930,9660,11080,12360,12810,12100,10160,8930,8670,9140,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brunei Darussalam,BRN,12460,14680,33300,35520,42370,45320,43140,38830,33160,29800,29660,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bulgaria,BGR,2250,1650,6980,7220,7420,7590,7730,7480,7580,7860,8860,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Burkina Faso,BFA,330,250,570,600,650,690,690,630,600,590,670,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Burundi,BDI,220,130,220,230,250,260,260,260,270,280,280,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cabo Verde,CPV,900,1410,3400,3510,3440,3490,3360,3210,3130,3080,3420,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cambodia,KHM,..,300,750,810,880,970,1020,1060,1140,1240,1390,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cameroon,CMR,940,670,1330,1350,1360,1430,1480,1440,1380,1340,1440,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Canada,CAN,20640,22620,44480,47190,51080,52810,52190,47590,43880,42960,44940,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cayman Islands,CYM,..,..,70220,71040,49570,44030,42930,44370,45730,47140,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Central African Republic,CAF,480,260,510,530,570,380,390,400,410,440,490,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Chad,TCD,270,180,910,880,960,970,980,880,730,640,670,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Channel Islands,CHI,..,42510,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Chile,CHL,2350,5060,10750,12340,14350,15270,14990,14140,13420,13290,14670,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,China,CHN,330,940,4340,5050,5930,6770,7500,7910,8210,8650,9460,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Colombia,COL,1330,2340,5610,6320,7290,7910,8190,7330,6460,5930,6180,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Comoros,COM,980,730,1380,1400,1420,1490,1480,1380,1320,1280,1380,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Congo, Dem. Rep.",COD,..,130,320,340,380,410,440,460,470,460,490,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Congo, Rep.",COG,930,560,2120,2120,2390,2490,2590,2410,1820,1480,1640,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Costa Rica,CRI,1750,3550,7180,8000,9150,9740,10090,10400,10770,11090,11520,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cote d'Ivoire,CIV,780,640,1190,1120,1230,1320,1450,1480,1490,1480,1600,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Croatia,HRV,..,5220,14080,14010,13400,13520,13270,12970,12390,12640,14000,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cuba,CUB,2650,2620,5610,5930,6280,6640,6840,7230,7480,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Curacao,CUW,..,..,..,..,..,19940,19850,19640,19070,19070,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cyprus,CYP,9510,14180,31300,31480,28940,27220,26670,26380,24660,24140,26300,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Czech Republic,CZE,..,6330,19280,19420,19350,19270,18800,18260,17590,17970,20240,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Denmark,DNK,24370,32580,61220,61990,61650,63200,63670,60510,57880,56340,60140,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Djibouti,DJI,..,..,..,..,..,..,..,2740,2890,3000,3190,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Dominica,DMA,2810,4220,6720,6920,6720,6820,6750,6670,6790,7790,7090,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Dominican Republic,DOM,870,2680,5330,5540,5790,6030,6330,6580,6860,7090,7760,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Ecuador,ECU,1370,1550,4390,4870,5390,5810,6110,5970,5810,5860,6110,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Egypt, Arab Rep.",EGY,760,1420,2370,2560,2840,3030,3230,3360,3460,3040,2800,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,El Salvador,SLV,900,1900,2880,3060,3210,3350,3400,3440,3510,3600,3820,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Equatorial Guinea,GNQ,260,770,9970,11530,13860,14020,13220,10840,8260,7080,6840,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Eritrea,ERI,..,300,570,720,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Estonia,EST,..,4160,14560,15850,16800,18170,18880,18560,18260,18690,21140,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Eswatini,SWZ,1290,1670,3460,4080,4590,4660,4320,4000,3660,3590,3930,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Ethiopia,ETH,260,130,380,390,410,470,550,600,670,740,790,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Fiji,FJI,1790,2240,3650,3780,4140,4710,5020,5200,5360,5480,5860,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Finland,FIN,26000,26450,49600,50150,48940,49480,49390,47160,45480,44680,48280,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,France,FRA,20640,24970,43850,44350,43380,43780,43320,41080,38990,38330,41080,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,French Polynesia,PYF,15270,15760,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Gabon,GAB,4820,3090,7830,8100,9080,9330,9320,7970,7080,6500,6830,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Gambia, The",GMB,310,620,890,760,760,730,650,620,620,660,710,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Georgia,GEO,..,810,3170,3520,4160,4530,4760,4400,4080,4030,4440,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Germany,DEU,21300,26150,44550,47220,46530,47190,47620,45850,44290,43640,47090,..
